driver_id,total_fare,avg_distance
7,142.86,24.74
42,307.66999999999996,32.40333333333333
3,239.86,21.856666666666666
8,345.20000000000005,19.815
99,488.09,31.617142857142856
17,432.22,26.979999999999997
6,107.47,16.573333333333334
23,376.23999999999995,27.765
93,354.64,33.122
25,401.36,30.577999999999996
48,68.68,20.58
84,349.24,19.321999999999996
9,239.78,18.04
24,380.65999999999997,24.77
88,342.0,19.03833333333333
1,392.8,22.6575
63,349.25,16.872500000000002
39,115.96,45.265
13,707.7199999999999,31.267000000000003
91,347.58000000000004,18.881999999999998
45,114.41,8.184999999999999
