driver_id,total_fare,avg_distance
7,472.09000000000003,26.594
42,736.93,34.85124999999999
64,723.05,28.875714285714288
34,169.6,14.215
59,102.91,27.450000000000003
22,494.46,23.555
85,626.1099999999999,20.93857142857143
35,512.1399999999999,20.426
99,599.63,29.967777777777776
26,276.14,20.012500000000003
89,297.92,13.994
6,669.6000000000001,20.695555555555554
60,431.82,27.61833333333333
41,590.74,34.402222222222214
95,764.22,18.126250000000002
53,233.01,8.976666666666667
86,308.46000000000004,20.27
10,334.03,10.927500000000002
4,781.83,23.56714285714286
83,531.3299999999999,31.470000000000002
21,72.18,41.89
