driver_id,total_fare,avg_distance
15,695.4000000000001,28.649999999999995
69,689.81,35.620000000000005
96,1036.92,20.680000000000003
5,798.23,30.416666666666668
61,714.09,17.748749999999998
6,971.2,24.194166666666664
90,689.57,28.13888888888889
23,678.0999999999999,34.47428571428571
86,496.87,18.543333333333333
81,750.2600000000001,23.64428571428571
88,561.65,18.878000000000004
56,290.21,19.395714285714288
63,852.02,15.143333333333336
39,326.86,30.0775
12,875.71,26.61777777777778
13,902.98,30.56833333333334
94,722.14,29.2125
