driver_id,total_fare,avg_distance
51,1164.59,27.451999999999998
30,1014.9899999999999,23.44333333333333
59,430.23,27.20625
16,695.29,34.275555555555556
71,579.4699999999999,29.083750000000002
5,925.9399999999999,28.621333333333332
31,779.05,19.40909090909091
18,1298.8700000000001,21.395625
70,633.24,32.36454545454546
68,786.9200000000001,30.14916666666667
82,1153.98,25.813076923076924
67,1147.22,24.23214285714286
24,982.1000000000001,28.055384615384618
1,1000.2999999999998,30.490000000000002
66,502.43999999999994,23.255
2,829.65,28.52111111111111
80,731.94,22.44818181818182
