driver_id,total_fare,avg_distance
73,470.73,31.874000000000002
64,967.73,28.313
96,658.0300000000001,17.297142857142855
5,546.02,31.272222222222222
18,482.83000000000004,22.560000000000002
26,365.88,22.486
68,621.63,29.225714285714286
38,1010.06,30.471666666666664
25,869.3299999999999,30.430999999999994
44,448.64,27.728333333333335
53,325.82,9.525
92,416.81,29.328333333333333
97,580.48,18.645555555555557
36,222.67000000000002,30.695
91,378.59000000000003,21.863333333333333
80,342.08000000000004,25.93166666666667
57,527.57,25.312857142857144
